,Proliferation 1h (P1) /Control,Proliferation 6h (P6) /Control,Proliferation 24h (P24) /Control,Quiescence 1h (Q1) /Control,Quiescence 6h (Q6) /Control,Quiescence 24h (Q24) /Control,Quiescence 96h (Q96) /Control,Senescence 1h (S1) /Control,Senescence 6h (S6) /Control,Senescence 24h (S24) /Control,Senescence 96h (S96) /Control
PKC zeta (Phospho-Thr560),0.872,0.887,0.731,1.046,0.841,0.942,1.056,1.208,0.754,1.002,0.862
MYPT1 (Phospho-Thr696),0.847,0.987,0.797,2.129,1.685,1.878,2.135,0.826,0.979,1.011,1.058
MYPT1 (Phospho-Thr853),0.971,1.196,0.981,1.191,1.478,1.233,1.281,0.933,1.171,1.213,1.347
PLCG1 (Phospho-Tyr1253),0.948,1.106,1.146,0.863,0.836,0.843,0.89,0.935,1.293,1.11,1.267
PLCG2 (Phospho-Tyr1217),0.946,0.994,0.934,0.891,0.803,0.877,0.973,0.886,1.031,1.095,1.125
PPAR-BP (Phospho-Thr1457),0.902,1.017,1.114,1.622,1.288,1.587,1.865,0.897,1.292,1.037,1.094
PPAR-gamma (Phospho-Ser112),1.013,1.285,1.214,1.199,1.238,1.242,1.177,0.942,1.273,1.227,1.178
TIE2 (Phospho-Tyr1108),0.803,0.813,0.795,1.437,1.466,1.406,1.843,0.699,0.742,0.749,0.96
WAVE1 (Phospho-Tyr125),0.742,0.777,0.981,0.844,0.851,0.806,0.878,0.694,0.817,0.839,0.678
XIAP (Phospho-Ser87),0.955,1.172,1.17,1.227,1.193,1.061,1.124,0.942,1.005,1.026,0.994
ATP-Citrate Lyase (Phospho-Ser454),1.074,1.005,0.963,1.139,1.034,1.1,1.122,1.034,1.079,1.144,1.131
Mst1/Mst2 (Phospho-Thr183),0.906,0.95,0.812,1.003,0.966,1.094,1.085,0.97,0.974,1.04,1.085
Myosin regulatory light chain 2 (Phospho-Ser18),0.923,0.981,1.083,1.303,0.916,1.003,1.321,0.772,0.814,0.704,0.821
p130Cas (Phospho-Tyr165),0.911,0.89,0.955,0.809,0.678,0.824,0.71,0.988,0.947,0.94,0.846
PP1 alpha (Phospho-Thr320),0.908,1.02,1.195,1.026,0.844,1.068,0.939,1.15,1.123,1.12,1.165
CK2-b (Phospho-Ser209),0.926,1.031,1.073,0.669,0.611,0.664,0.588,1.161,1.077,0.985,0.998
EPHA2/3/4 (Phospho-Tyr588/596),0.917,0.911,0.726,1.007,0.991,1.004,1.285,1.033,0.795,1.042,0.938
EPHB1/2 (Phospho-Tyr594/604),0.912,0.953,0.852,1.63,1.167,1.329,1.41,1.009,0.797,1.186,1.032
Ephrin B1 (Phospho-Tyr317),0.881,1.013,0.848,0.775,0.767,0.837,0.898,1.017,0.921,1.047,1.036
Epo-R (Phospho-Tyr368),1.102,1.15,1.365,0.982,1.147,1.222,0.981,1.489,1.208,1.097,1.35
IKK-beta (Ab-188),0.929,1.165,0.826,0.786,0.607,0.67,0.709,0.772,1.077,0.946,1.214
IKK-gamma (Ab-31),0.958,1.058,1.427,1.046,1.202,0.983,1.08,0.885,1.355,1.02,1.831
AKT1S1 (Ab-246),0.995,1.338,0.45,0.483,0.391,0.513,0.384,1.027,0.53,0.709,1.227
Arrestin-1 (Ab-412),0.896,0.931,0.706,0.661,0.628,0.689,0.692,0.707,0.909,0.826,1.099
BID (Ab-78),0.863,0.962,0.775,0.614,0.547,0.539,0.51,0.565,0.742,0.819,1.034
CD3Z (Ab-142),0.914,0.911,0.81,0.84,0.732,0.832,0.766,0.81,0.903,0.978,1.214
CDK1/CDC2 (Ab-14),0.909,0.857,0.845,0.808,0.861,0.756,0.844,0.682,1.007,0.864,0.964
CREB (Ab-121),0.841,0.951,0.94,0.556,0.574,0.595,0.548,0.867,1.131,0.928,1.026
EGFR (Ab-1016),0.847,0.89,0.855,0.521,0.495,0.508,0.521,0.744,0.918,0.832,1.039
FAK (Ab-407),0.859,0.947,1.02,0.625,0.619,0.66,0.601,1.028,1.123,0.987,1.008
FOXO1/3/4-pan (Ab-24/32),1.005,0.965,0.925,1.073,1.022,1.043,1.022,0.942,0.89,0.948,1.063
FKHR/FOXO1A (Ab-329),0.835,1,0.969,1.164,1.049,1.113,1.235,0.981,0.958,1.111,1.057
GRK2 (Ab-29),1.082,1.328,0.558,0.683,0.594,0.688,0.584,0.721,0.74,0.848,1.067
IKK-beta (Ab-199),0.976,1.154,0.615,0.6,0.535,0.71,0.598,0.82,0.705,0.714,0.893
IRS-1 (Ab-323),0.831,0.921,0.636,0.762,0.633,0.64,0.724,0.813,0.689,0.714,0.866
JNK1/2/3 (Ab-183/185),0.769,0.871,0.74,0.771,0.807,0.931,0.931,0.841,0.786,0.839,0.949
LAT (Ab-191),0.905,0.941,0.684,0.418,0.39,0.439,0.374,0.808,0.803,0.783,0.93
LCK (Ab-505),0.891,0.969,0.798,0.91,0.91,0.821,0.888,0.9,0.703,0.804,0.707
LCK (Ab-192),0.892,0.994,0.663,0.803,0.721,0.747,0.741,0.972,0.771,0.952,0.923
Caspase 1 (Ab-376),1.032,1.169,1.027,0.721,0.583,0.625,0.606,0.893,1.21,1.06,1.243
Caspase 2 (Ab-157),0.933,1.31,0.976,0.97,0.895,1.045,1.014,0.895,1.177,1.324,1.368
GRB10/Growth factor receptor-bound protein 10 (Ab-67),0.859,1.059,1.086,0.852,0.725,0.774,0.776,0.944,1.22,1.281,1.234
GTPase activating protein (Ab-387),0.83,0.911,0.947,0.674,0.58,0.629,0.613,0.809,1.188,0.957,1.095
HSP90 co-chaperone Cdc37 (Ab-13),1.034,0.999,0.898,1.435,1.284,1.465,1.559,0.956,1.13,1.211,1.219
IGF2R (Ab-2409),1.174,1.146,0.927,0.55,0.483,0.547,0.477,0.865,1.143,1.01,1.055
IGFBP-3 (Ab-183),0.883,0.93,0.969,0.81,0.837,0.836,0.891,0.887,1.101,1.062,1.078
MKP-1 (Ab-359),0.845,0.891,0.754,0.61,0.613,0.629,0.629,0.82,0.975,0.969,0.94
PAK1/2 (Ab-199),0.89,0.984,0.853,0.792,0.665,0.747,0.819,0.857,1.005,0.875,0.906
MAP3K7/TAK1 (Ab-184),0.918,0.877,0.764,0.662,0.635,0.631,0.651,0.843,0.918,0.851,0.927
TGFBR1 (Ab-165),0.911,1,0.889,0.768,0.607,0.702,0.579,0.954,0.993,0.854,0.979
TGFBR2 (Ab-250),1.076,1.096,0.433,0.462,0.471,0.472,0.526,0.538,1.082,0.52,0.574
eNOS (Ab-615),0.904,0.987,0.93,0.563,0.469,0.579,0.457,1.077,1.121,1.091,1.025
eNOS (Ab-1179),0.806,0.88,0.623,0.802,0.872,0.837,0.886,0.789,0.644,0.734,0.847
IKK-gamma (Ab-85),0.925,1.034,0.746,0.877,0.786,0.81,0.851,0.903,0.804,0.817,0.859
mTOR (Ab-2446),0.89,0.951,0.884,0.742,0.659,0.733,0.705,1.14,1.078,1.203,1.009
PI3-kinase p85-subunit alpha/gamma (Ab-467/199),0.941,0.954,0.943,0.891,0.753,0.874,0.896,1.13,0.998,1.139,1.002
Rho/Rac guanine nucleotide exchange factor 2 (Ab-885),0.97,0.948,0.88,0.783,0.715,0.872,0.804,1.252,1.063,1.14,1.07
VAV2 (Ab-142),0.794,0.859,0.844,1.124,1.161,1.369,1.083,0.939,0.775,0.841,0.882
AurA (Ab-288),0.916,1.095,0.897,1.02,0.715,0.748,0.938,0.946,1.248,1.189,1.292
AurB (Ab-232),0.914,1.147,0.987,0.737,0.822,0.797,0.819,0.965,1.36,1.121,1.19
AurA (Ab-342),0.883,1.034,0.948,0.799,0.954,0.857,1.216,0.905,1.235,1.104,1.229
AurB (Ab-12),0.92,0.992,1.064,0.878,1.043,0.912,1.135,0.934,1.269,1.249,1.217
AurB/C (Ab-202/175),0.921,0.93,0.953,0.593,0.561,0.588,0.518,0.857,1.127,0.901,1.021
Integrin beta-1 (Ab-788),0.89,1.037,0.86,0.999,0.987,1.033,1.066,0.949,1.063,1.229,1.245
Integrin beta-1 (Ab-789),0.936,1.066,0.865,0.507,0.526,0.535,0.545,0.784,0.964,0.792,1.092
PDGFR beta (Ab-1009),0.888,0.957,0.815,0.748,0.761,0.778,0.749,0.724,0.954,0.964,1.026
Interferon-gamma receptor alpha chain precursor (Ab-457),0.956,1.011,0.926,0.813,0.87,0.849,0.94,0.883,1.069,1.126,1.099
PDGFR beta (Ab-740),0.9,0.956,1.107,0.685,0.627,0.699,0.631,1.055,1.192,1.004,1.101
PDGFR beta (Ab-1021),0.953,0.956,1.001,0.679,0.746,0.775,0.761,1.036,1.18,1.113,0.985
PDGFR alpha (Ab-849),0.908,0.918,1.121,0.953,1.195,0.962,0.961,0.884,0.814,0.885,1.05
14-3-3 beta/zeta (Phospho-Ser186/184),0.951,0.885,1.031,0.97,0.728,0.799,0.896,1.124,0.884,1.195,1.122
Survivin (Ab-117),0.858,0.91,0.865,0.72,0.762,0.886,0.933,1.116,1.076,1.089,0.98
TOP2A/DNA topoisomerase II (Ab-1106),0.404,0.689,0.557,0.542,0.6,0.554,0.596,0.733,0.721,0.66,0.522
IL3RB (Ab-593),0.962,1.042,0.91,1.091,0.856,0.92,0.971,1.03,0.913,1.043,1.017
FLT3 (Ab-599),0.97,1.017,0.886,1.138,1.179,1.312,1.286,0.91,0.83,0.76,0.937
IR (Ab-1361),0.955,1.071,0.916,0.717,0.953,1.024,1.154,1.109,1.002,1.104,1.198
KIT (Ab-936),1.099,1.143,0.869,1.541,1.258,1.524,1.281,1.05,0.884,0.941,1.02
Androgen Receptor (Phospho-Ser650) ,1.029,1.208,1.038,0.973,1.172,1.106,1.072,0.79,1.061,0.973,1.184
Chk1 (Phospho-Ser345) ,1.011,1.214,1.195,1.026,0.882,0.958,1.391,0.857,1.377,0.904,1.103
FAK (Phospho-Tyr925) ,0.954,1.176,0.971,1.106,1.08,1.137,0.999,0.954,1.025,1.066,1.167
AKT2 (Phospho-Ser474) ,1.023,1.351,1.29,1.416,1.558,1.576,1.577,0.951,1.367,1.382,1.382
c-Abl (Phospho-Tyr412) ,1.002,1.195,1.24,1.327,1.255,1.205,1.36,0.99,1.191,1.251,1.417
LIMK1 (Phospho-Thr508) ,1.051,1.126,1.13,1.358,1.193,1.57,1.648,0.849,1.207,1.079,1.25
IKK-alpha (Phospho-Thr23) ,1.044,0.972,0.855,1.253,1.095,1.381,1.015,0.692,0.849,0.841,0.999
Rb (Phospho-Ser795) ,0.986,0.948,0.983,0.786,1.139,0.782,0.741,0.823,0.943,0.845,1.079
Rb (Phospho-Ser807) ,0.984,0.69,0.495,0.259,0.219,0.229,0.21,0.46,0.46,0.216,0.309
Rb (Phospho-Ser780) ,0.949,0.985,0.911,0.983,1.241,1.031,1.103,0.814,0.879,0.907,0.952
CDK2 (Phospho-Thr160) ,1.081,1.061,0.916,1.025,1.517,1.627,1.186,0.942,0.866,1.106,1.124
FKHR (Phospho-Ser319) ,1.057,0.999,1.071,1.1,1.158,1.215,0.976,0.92,0.966,1.063,1.024
AFX/FOXO4 (Phospho-Ser197) ,0.961,0.997,1.045,1.058,1.056,1.087,1.007,0.827,0.845,0.958,0.971
CDC25A (Phospho-Ser75) ,1.014,1.045,1.011,0.903,0.928,0.927,0.963,1.012,0.92,1.014,1.151
Cofilin (Phospho-Ser3) ,1.017,1.259,1.131,1.196,1.294,1.94,1.179,1.151,1.17,1.17,1.208
Chk1 (Phospho-Ser280) ,0.971,1.044,1.027,1.281,1.301,1.298,1.123,1.123,0.943,1.143,1.166
Chk1 (Phospho-Ser317) ,0.976,0.852,0.801,0.825,0.708,0.79,0.819,1.178,1.193,0.775,0.913
VAV1 (Phospho-Tyr174) ,1.169,1.165,0.966,1.081,1.52,1.305,1.056,0.979,0.793,1.043,1.082
IRS-1 (Phospho-Ser312) ,0.944,0.937,0.881,1.567,2.484,1.931,1.816,0.928,0.795,0.908,0.988
Opioid Receptor (Phospho-Ser375),0.896,1.223,0.933,1.89,1.797,1.489,1.609,0.817,1.01,1.085,1.361
PKC zeta (Phospho-Thr410),0.966,1.025,0.97,0.989,1.131,1.109,1.074,0.665,1.092,0.998,1.08
Shc (Phospho-Tyr349),0.995,0.877,0.956,1.393,1.221,1.057,1.046,0.775,1.038,0.961,1.104
Shc (Phospho-Tyr427),0.985,1.11,1.079,0.968,1.08,0.999,1.023,0.751,1.163,1.061,1.1
SHP-1 (Phospho-Tyr536),1.068,1.073,1.182,1.101,1.118,1.102,1.244,0.873,1.096,0.985,1.101
SHP-2 (Phospho-Tyr542),1.023,1.062,1.064,1.194,1.408,1.123,1.132,0.999,1.121,1.152,1.209
SHP-2 (Phospho-Tyr580),1.137,1.127,1.056,1.013,1.094,0.94,0.905,0.807,1.014,1.108,1.109
Smad3 (Phospho-Ser425),1.136,1.232,1.13,1.355,1.655,1.316,1.367,0.904,1.204,1.211,1.25
Synaptotagmin (Phospho-Ser309),1.01,1.113,1.042,0.996,1.022,1.02,1.073,0.815,0.996,0.912,1.058
Synaptotagmin (Phospho-Thr202),0.984,1.027,1.151,0.959,1.154,1.113,1.178,0.848,1.125,1.145,1.097
Trk A (Phospho-Tyr791),1.025,1.006,1.116,0.849,0.769,0.827,0.766,0.791,0.977,0.938,0.984
Trk B (Phospho-Tyr515),1.091,1.055,0.936,0.802,0.772,0.743,0.795,0.85,0.899,0.772,1.008
Tyrosine Hydroxylase (Phospho-Ser19),1.011,0.94,0.968,0.806,0.839,0.842,0.796,0.827,0.869,0.897,0.975
Tyrosine Hydroxylase (Phospho-Ser31),1.049,1.086,1.099,0.962,0.886,0.865,0.888,1.213,0.989,1.116,1.122
Tyrosine Hydroxylase (Phospho-Ser40),1.008,1.015,0.978,0.886,0.873,0.927,0.981,0.885,0.908,0.938,1.003
BTK (Phospho-Tyr223),0.744,0.655,0.544,0.283,0.224,0.213,0.359,0.606,0.693,0.381,0.6
MAP3K8/COT (Phospho-Thr290),1.017,1.035,0.887,1.078,1.053,0.993,1.022,0.891,0.828,0.897,1.096
CrkII (Phospho-Tyr221),1.382,1.416,0.968,1.137,1.179,1.293,1.359,1.329,0.948,1.18,1.151
CrkL (Phospho-Tyr207),1.029,1.093,0.95,1.154,1.14,1.096,1.106,0.931,0.848,0.885,1.014
HDAC8 (Ab-39) ,1.1,1.466,1.422,0.882,0.949,0.922,0.813,0.991,1.381,1.279,1.588
HSP27 (Ab-15) ,1.084,1.119,1.221,0.875,0.9,0.923,0.883,0.91,1.216,1.149,1.245
CDC25C (Ab-216) ,0.725,2.937,1.942,0.946,0.949,0.93,0.751,1.592,2.283,1.731,2.764
Chk1 (Ab-345) ,0.974,1.101,1.171,1.134,0.809,0.859,0.859,0.913,1.289,1.912,2.303
ATM (Ab-1981) ,1.131,1.095,1.098,1.003,1.421,1.189,1.195,0.851,1.07,1.057,1.234
FAK (Ab-925) ,1.029,1.085,1.063,0.869,0.91,0.89,1.072,0.888,1.118,1.249,1.425
p21Cip1 (Ab-145) ,0.958,0.981,0.942,0.646,0.639,0.68,0.65,0.872,1.11,0.942,1.038
p27Kip1 (Ab-10),1.049,1.029,1.149,1.061,0.893,0.964,1.034,0.609,0.822,1.219,1.335
p27Kip1 (Ab-187),1.057,1.325,1.409,1.088,1.339,1.349,1.135,1.273,1.679,1.438,1.489
AKT2 (Ab-474) ,1.11,1.029,1.123,0.944,1.107,0.898,0.962,1.097,1.307,1.092,1.046
c-Abl (Ab-412) ,1.114,1.051,1.02,1.458,1.679,1.649,2.217,1.091,1.151,1.117,1.281
IKK-alpha (Ab-23) ,0.919,1.103,0.843,0.534,0.511,0.502,0.476,0.697,0.793,0.827,1.061
HDAC2 (Ab-394) ,0.63,0.875,0.864,0.723,0.89,0.86,0.653,0.927,0.966,0.756,1.035
FKHR (Ab-319) ,1.01,1.025,0.869,1.28,1.263,1.449,1.236,0.991,0.929,1.036,0.99
AFX/FOXO4 (Ab-197) ,0.949,0.83,0.917,0.715,0.852,0.821,0.759,0.905,1.023,0.807,0.79
CDC25A (Ab-75) ,0.966,1.009,0.942,1.254,1.28,1.236,1.204,1.018,0.895,1.057,1.074
Cofilin (Ab-3) ,0.981,0.819,0.769,0.499,0.708,0.656,0.597,0.916,0.857,0.757,0.872
VAV1 (Ab-174) ,1.092,1.252,0.861,1.257,1.471,1.514,1.214,0.977,0.831,0.994,1.088
IRS-1 (Ab-312) ,0.988,1.028,0.922,0.847,0.996,1.067,0.879,0.945,0.95,0.898,1.079
Trk B (Phospho-Tyr705),0.988,1.238,1.018,1.714,1.477,1.611,1.437,0.96,1.057,0.934,1.124
Cyclin E1 (Phospho-Thr395),1.022,1.232,1.031,0.833,0.779,0.828,0.703,0.945,1.384,1.368,1.369
KSR (Phospho-Ser392),1.166,1.157,1.093,1.458,1.699,1.608,1.385,0.941,1.125,1.18,1.233
PLC beta3 (Phospho-Ser1105),0.938,0.919,1.007,1.004,0.971,0.851,0.869,1.01,1.176,1.08,1.128
Pyk2 (Phospho-Tyr580),1.102,1.067,0.895,1.01,1.009,0.921,0.911,0.823,1.078,0.908,1.051
STAT5B (Phospho-Ser731),0.97,1.087,1.095,1.079,1.159,1.093,1.129,1.024,1.196,1.267,1.324
SYK (Phospho-Tyr348),1.208,1.097,1.243,1.197,1.506,1.51,1.57,1.07,1.243,0.994,1.148
P70S6K (Phospho-Thr421),1.076,1.402,1.106,1.102,1.21,1.194,1.15,1.119,1.286,1.321,1.258
CaMK2 alpha/beta/delta (Phospho-Thr305),1.062,1.153,0.981,0.96,0.859,0.934,0.763,0.834,1.043,0.855,0.935
MAPKAPK2 (Phospho-Thr334),0.642,1.086,0.634,0.694,0.795,0.739,0.752,0.762,0.804,0.789,0.674
NFkB-p105/p50 (Phospho-Ser927),0.979,1.144,1.172,1.021,0.979,0.887,0.95,1.071,1.139,1.401,1.279
Smad1 (Phospho-Ser465),1.067,1.002,0.789,0.963,1.108,1.064,1.056,1.001,0.946,0.933,0.943
Smad2 (Phospho-Ser467),0.801,0.953,0.791,1.302,1.096,1.363,1.135,0.846,0.812,0.871,0.841
ACC1 (Phospho-Ser80),0.974,0.717,0.676,0.88,0.8,0.835,0.749,1.104,0.942,0.949,1.009
Caspase 6 (Phospho-Ser257),0.975,0.971,0.935,0.982,0.864,0.838,0.898,0.917,0.978,1.023,1.023
Caspase 8 (Phospho-Ser347),1.155,0.925,0.885,0.971,0.803,1.028,1.091,1.172,0.953,1.09,1.213
Caspase 9 (Phospho-Thr125),1.016,1.058,0.933,0.912,1.223,1.047,1.04,0.924,0.912,0.831,1.011
CDC25B (Phospho-Ser323),0.962,1.02,0.801,0.948,0.837,0.929,0.925,1.066,0.91,1.296,1.228
c-PLA2 (Phospho-Ser505),1.076,0.884,0.867,0.798,0.76,0.828,0.727,1.247,0.822,0.872,0.974
PKD1/PKC mu (Phospho-Ser205),0.867,1.178,1.039,1.639,1.934,1.986,1.393,0.943,1.152,0.989,1.122
PKD1/PKC mu (Phospho-Tyr463),0.947,1.074,0.843,1.048,0.931,1.222,1.079,0.789,1.105,1.027,1.226
PKD2 (Phospho-Ser876),0.996,1.054,0.9,0.661,0.647,0.672,0.567,0.831,1.071,1.099,1.187
Rb (Phospho-Ser811),1.038,1.219,1.281,1.072,1.007,1.141,1.019,1.034,1.37,1.501,1.383
Rb (Phospho-Thr821),0.901,1.097,1.058,1.052,1.232,0.973,1.032,1.074,1.328,1.214,1.134
AKT1 (Phospho-Tyr326),1.042,1.091,1.089,0.724,0.843,0.722,0.847,0.758,1.033,0.951,1.153
BAD (Phospho-Ser91/128),1.061,1.131,1.159,1.019,1.446,1.478,1.511,0.943,1.117,1.13,1.084
BAD (Phospho-Ser134),0.987,1.013,0.945,0.74,0.702,0.784,0.733,0.876,1.133,1.002,1.082
Calmodulin (Phospho-Thr79/Ser81),1.112,1.169,1.151,0.974,0.976,0.914,0.992,0.949,1.096,0.998,1.114
CaMK1-alpha (Phospho-Thr177),0.959,0.891,0.94,0.85,0.782,0.793,0.794,0.87,0.943,1.108,0.945
CaMK4 (Phospho-Thr196/200),1.116,1.156,2.276,0.916,1.256,1.152,1.003,1.214,1.116,1.159,1.111
Caspase 9 (Phospho-Tyr153),0.998,0.707,0.688,0.676,1.082,0.773,0.728,0.723,0.863,0.627,0.666
Caspase 9 (Phospho-Ser144),0.957,0.982,0.861,1.143,1.685,1.639,1.151,1.037,1.045,1.13,1.138
Caspase 9 (Phospho-Ser196),0.605,0.593,0.535,0.644,0.594,0.676,0.737,0.651,0.849,0.601,0.611
Caspase 3 (Phospho-Ser150),0.894,0.922,0.818,1.362,1.206,1.027,1.237,0.881,0.886,0.862,0.905
Catalase (Phospho-Tyr385),1.061,0.982,0.705,0.803,0.715,0.777,0.742,0.952,0.83,1.03,1.079
Catenin beta (Phospho-Tyr654),1,0.975,0.964,0.921,0.977,1.011,1.154,1.071,0.945,1.158,1.123
CD227/mucin 1 (Phospho-Tyr1243),0.964,1.001,0.8,0.903,0.883,0.848,0.847,0.978,0.826,1.083,1.188
CD28 (Phospho-Tyr218),0.967,0.896,0.84,0.719,0.649,0.647,0.663,1.037,1.067,1.073,1.017
Interferon-gamma receptor alpha chain precursor (Phospho-Tyr457),1.026,1.291,0.956,1.56,2.477,2.11,2.867,1.009,1.342,1.145,1.421
IL-2RA/CD25 (Phospho-Ser268),0.926,0.928,0.976,1.105,1.349,1.159,0.992,0.862,1.071,0.965,1.008
RAD51 (Phospho-Tyr315),0.988,1.119,1.011,1.053,1.128,1.357,1.092,0.899,1.043,1.134,1.12
RAD52 (Phospho-Tyr104),1.287,1.31,0.993,1.005,1.218,1.197,1.256,0.813,1.404,1.058,1.39
MKK4/SEK1 (Phospho-Ser257),1.058,1.052,1.034,0.829,1.222,1.15,1.169,0.941,1.355,1.112,1.21
ATP1A1/Na+K+ ATPase1 (Phospho-Ser23),1.044,1.136,0.734,0.799,0.818,0.781,0.894,0.803,1.054,0.81,1.04
PIP5K (Phospho-Ser307),0.971,1.086,1.081,0.764,1.015,1.039,1.105,0.954,1.308,1.161,1.199
WEE1 (Phospho-Ser642),1.05,1.045,1.17,0.659,0.736,0.764,0.661,1.021,1.236,1.102,1.084
CK1-A (Phospho-Thr321),0.887,0.861,0.674,0.485,0.426,0.419,0.478,0.75,0.801,0.768,1.097
HSP90B (Phospho-Ser226),0.948,0.683,0.95,1.091,0.931,0.998,0.995,0.883,0.955,0.692,1.515
Merlin (Phospho-Ser10),0.883,0.865,0.793,0.766,0.864,0.777,0.708,0.991,0.74,0.937,1.051
CK1-A/A2 (Phospho-Tyr294),0.9,0.909,0.729,0.948,1.231,0.945,0.917,1.068,0.891,1.026,0.959
MER/SKY (Phospho-Tyr749/Tyr681),1.088,1.093,0.955,0.837,1.041,0.973,1.05,0.958,0.765,0.864,1.064
CD22/BL-CAM (Phospho-Tyr807),1.095,0.966,0.936,0.777,0.729,0.8,0.695,1.01,0.941,1.063,0.981
FRS2 (Phospho-Tyr436),0.909,1.023,0.932,0.945,0.971,1.004,0.886,0.94,0.885,0.794,0.92
Ephrin B1/B2/B3 (Phospho-Tyr324),1.026,0.806,0.728,0.47,0.526,0.57,0.501,0.723,0.836,0.788,0.942
EPB41 (Phospho-Tyr418/660),1.095,1.079,0.936,1.136,1.011,0.964,1.151,1.067,0.808,1.143,1.068
Mnk1 (Phospho-Thr385),0.835,0.652,0.814,0.655,0.758,0.661,0.711,0.833,0.635,0.757,0.862
TIF-IA (Phospho-Ser649),0.982,0.875,0.772,0.542,0.516,0.571,0.591,0.902,0.834,0.792,1.043
MDM2 (Ab-166),1.199,1.682,0.764,0.511,0.325,0.48,0.247,0.46,0.915,0.825,1.509
NFAT3 (Ab-676),1.133,1.123,0.903,0.583,0.639,0.669,0.609,0.812,1.196,0.952,1.157
NFAT4 (Ab-165),0.988,1.094,1.086,0.848,1.072,1.123,1.165,0.949,1.391,1.126,1.137
NFkB-p65 (Ab-505),0.898,0.865,0.774,0.412,0.488,0.466,0.466,0.686,0.914,0.706,0.902
p300 (Ab-89),0.968,0.997,1.084,0.84,0.708,0.739,0.768,0.703,0.971,2.338,2.964
p53 (Ab-20),1.132,1.022,0.785,0.532,0.541,0.553,0.532,0.738,0.854,0.768,1.116
p53 (Ab-392),1.225,0.812,0.818,0.869,0.867,0.972,0.904,0.794,1.026,0.856,1.14
P70S6K (Ab-229),1.379,1.084,1.127,0.935,1.083,1.144,0.948,1.156,1.428,1.345,1.118
P70S6K (Ab-371),1.113,1.127,0.934,1.114,1.252,1.153,1.332,1.136,1.087,1.049,1.327
P70S6K (Ab-418),0.979,1.018,1,0.648,0.808,0.832,0.792,1.055,1.277,1.048,1.09
P90RSK (Ab-359/363),1.916,1.874,0.844,0.604,0.377,0.481,0.372,0.622,0.867,0.992,1.598
P90RSK (Ab-380),1.004,1.047,0.922,0.694,0.747,0.7,0.678,1.065,0.949,1.089,1.152
P90RSK (Ab-573),2.148,2.551,1.366,0.939,0.954,0.765,0.844,1.735,1.605,1.507,1.419
PAK1 (Ab-212),0.996,1.07,0.916,0.636,0.614,0.616,0.6,0.942,0.966,1.112,1.147
PAK1/2/3 (Ab-423/402/421),0.957,0.796,0.627,0.225,0.209,0.202,0.182,0.659,0.688,0.441,0.729
PAK1/2/3 (Ab-141),1,0.998,0.919,0.865,0.756,0.851,0.812,1.087,0.918,1.303,1.235
PEA-15 (Ab-116),0.901,0.9,0.912,0.537,0.527,0.558,0.559,1.133,1.066,1.192,1.185
PKA CAT (Ab-197),0.81,0.729,0.678,1.005,1.183,1.104,1.014,0.743,0.978,0.918,0.925
PP2A-alpha (Ab-307),0.583,0.941,0.376,0.54,0.43,0.473,0.467,0.522,0.682,0.617,0.69
14-3-3 beta/zeta (Ab-186/184),0.962,0.965,1.048,0.788,0.671,0.755,0.816,0.855,1.121,0.99,1.121
Catenin beta (Ab-489),1.049,1.09,1.137,0.714,0.816,0.821,0.663,1.071,1.531,1.123,1.145
CDC25A (Ab-178),1.058,1.178,1.163,0.76,0.855,0.801,0.632,0.944,1.282,1.001,1.037
CREB (Ab-100),0.952,1.005,0.864,1.053,1.131,1.072,1.452,0.906,1.166,1.035,1.154
EGFR (Ab-998),1.071,1.296,1.2,1.019,0.984,1.058,0.955,1.01,1.283,1.397,1.435
Ezrin (Ab-478),1.069,1.011,1.065,0.593,0.708,0.694,0.705,0.909,1.271,0.967,1.18
HER2 (Ab-1112),1.076,1.22,1.2,1.006,1.583,1.291,0.948,1.075,1.364,1.4,1.449
NFkB-p65 (Ab-281),1.01,0.989,0.948,0.734,0.729,0.705,0.747,0.874,0.971,1.072,1.248
p53 (Ab-387),1.059,1.156,0.943,0.759,0.706,0.733,0.757,0.919,1.055,1.148,1.325
p53 (Ab-376),0.918,1.016,0.882,0.793,0.784,0.804,0.762,0.903,0.995,1.013,1.009
p53 (Ab-378),0.966,0.921,0.994,0.682,0.666,0.694,0.605,1.215,1.236,1.146,1.05
Rb (Ab-608),0.892,1.018,0.778,0.696,0.713,0.694,0.775,1.002,0.884,0.945,1.049
SRF (Ab-77),1.032,1.038,0.734,0.783,0.867,0.702,0.681,0.955,0.876,1.179,1.18
Abl1 (Ab-754/735),0.848,0.925,0.842,1.397,1.307,0.981,1.728,0.986,0.938,1.004,0.874
AKT1/2/3 (Ab-315),1.069,1.18,1.178,0.925,1.116,1.007,0.88,1.166,1.377,1.166,1.089
B-RAF (Ab-446),0.927,0.903,0.855,0.624,0.876,0.861,0.807,0.919,0.92,0.953,0.971
CaMK2-beta/gamma/delta (Ab-287),0.897,0.958,0.722,0.373,0.377,0.354,0.34,0.852,0.829,0.684,0.955
LKB1 (Ab-334),1.005,1.288,0.631,0.567,0.539,0.545,0.741,0.967,0.472,0.669,1.039
MKK3/MAP2K3 (Ab-222),0.97,0.937,0.849,0.889,0.77,1.011,0.895,1.089,0.936,1.057,1.037
