,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h
MEK1 (Ab-286),2057.5,2765,3125.5,2834.5,2454,1774,2354,1768,1481.5,1331,1939,2965.5,1552.5,2168,2098,1649.5,1046,1913,2415,2359.5,2116,1597.5
MSK1 (Ab-360),6351.5,9569,10028.5,9539.5,7768,7279.5,7825.5,6340.5,7870,6839,6524,8102,4046,8823,5610.5,5417.5,4203,6427.5,8875.5,7607.5,7048.5,6156.5
MSK1 (Ab-581),1544.5,1639,2204,1634,2412,1302.5,1349.5,1119.5,1166,1107.5,1654.5,1840,1436.5,1462,1537,1223,972.5,1169,1713.5,1331,1790.5,1189
mTOR (Ab-2481),1081,986.5,1572,1232.5,1476,840,1164.5,635,676.5,890,1082.5,1594,947.5,1587.5,1324.5,939.5,530.5,786.5,1477.5,1221,1248,601
PAK4 (Ab-474),857,849,1507,1142.5,1460,842.5,1395,778,897,867.5,939.5,1232.5,989.5,1222.5,1403.5,935.5,739,879,1405.5,1417.5,1082,698.5
PKC alpha/beta II (Ab-638),1061,1201,1462,1437.5,1391,812,1138,628,632.5,835.5,1019,1842,948.5,1633,1188.5,790,477.5,770,1376,1154,1225,529
PKC delta (Ab-505),850.5,882.5,1257.5,1034.5,1206.5,815.5,1063,683,695.5,845,979,1561.5,884.5,1630,1175.5,780,501,742,1380.5,1133.5,1100.5,590
Cyclin E2 (Phospho-Thr392),1618,1202.5,1712.5,1268.5,1640.5,1060.5,1158.5,921.5,944.5,1071,1134.5,2136,1224,1542,1329.5,1034,785.5,1112,1618.5,1308.5,1365,811.5
PKD1/PKC mu (Ab-744/748),1087.5,1039,1502.5,1310,1446.5,821,1165,821.5,711,1033.5,1098.5,1924.5,1031,1632,1368.5,1018.5,632,906.5,1407.5,1287.5,1208,674
PKD1/PKC mu (Ab-910),736.5,736.5,1104.5,1028.5,1029.5,605,833,543,566,705.5,781,1185.5,758.5,1136,1075.5,749,506,604,1056.5,946,859,438
NFkB-p105/p50 (Phospho-Ser337),4350,4751,6000.5,5936.5,5414,5327.5,5281,6708,5304,4509.5,5155.5,5499,5023,5573.5,5395,4778.5,4753,4962.5,5863.5,5903,5410.5,4691.5
NFkB-p105/p50 (Phospho-Ser893),1278.5,1120,1656.5,1378,1449.5,1063.5,1248.5,885,1265.5,983,1325.5,2053,955,1381.5,1737,1288,838.5,1093,1390.5,1372,4090.5,883
NFkB-p105/p50 (Phospho-Ser907),1434.5,1175,1414.5,1271,1474,1010,1076,808.5,1130.5,900,1238.5,1638,1333.5,1294.5,1481.5,1143,746.5,967.5,1315,1250.5,2013,721
Rel (Phospho-Ser503),1556.5,887,1531.5,1505.5,1774,951,1361.5,990.5,1084.5,965,1386,2921,2271,1710.5,1775,1195.5,911.5,1035,1639,1482.5,1506.5,823.5
c-Jun (Phospho-Thr91),973,893.5,1340,1218.5,1140.5,719.5,1177,713,718,905.5,1040,1511.5,901,1304.5,1255,969,583,746.5,1250,1166,1047.5,601
c-Jun (Phospho-Thr93),1137,1029.5,1498.5,1723,1282.5,874.5,888,746.5,632,863,926,1054,722,1002.5,1417.5,811,569.5,845,1563.5,1318,889.5,602.5
c-Jun (Phospho-Tyr170),1391.5,1398.5,1705,1730.5,1726.5,1087.5,1431.5,969.5,919.5,1087,1434,1707.5,1787.5,1272.5,1545.5,1247.5,1015,1358.5,1616,1353.5,1639.5,819.5
c-Jun (Phospho-Thr239),951,990,1401,1069,1484,739,1140,734.5,757,890,1037.5,1716,1138.5,1402.5,1312.5,925.5,775.5,786,1304,1148,1111,611
c-Jun (Phospho-Ser243),807.5,895.5,1261.5,1266.5,1378.5,780,1043,748.5,761,800,1030,1705,1354,1349.5,1462.5,1029,851.5,868.5,1291,1201,1226,732.5
JunB (Phospho-Ser79),1178.5,1272,1795,2533.5,1403,944.5,1429.5,961.5,914,1080.5,1264.5,2140,1594,1410.5,1563,1010.5,811.5,1102,1579,1427,1477.5,808.5
JunB (Phospho-Ser259),948.5,929.5,1309,1042.5,1541,697,1074,798,817,1096,1057.5,1711,1248,1412.5,1374.5,1114,780,848.5,1418.5,1237,1206,719
JunD (Phospho-Ser255),1051,1096.5,1618,1276,1537,1055.5,1321.5,1036.5,960.5,1102.5,1310.5,2161.5,1505,1676.5,1727,1415.5,1072.5,1143.5,1557.5,1448,1567,870
ATF2 (Phospho-Ser62/44),967,933,1550,1057,1239.5,911.5,1225,1909.5,761.5,1042.5,1030.5,1686,1376.5,1737,1786,983.5,773.5,898.5,1503.5,1365,1307,764.5
ATF2 (Phospho-Thr69/51),1068.5,1213.5,1879,1104.5,1403,1302,1288,1562.5,1023,1129,1211.5,2080,1277.5,2153.5,1511.5,1306.5,730.5,1154,1521,1508,1563.5,839.5
ATF2 (Phospho-Thr71/53),961.5,1096,1754.5,1345,1680,939,1240,840.5,758.5,919,1200.5,1613.5,1050.5,1715.5,1352.5,1052.5,633,872,1432,1313,1228.5,714
ATF2 (Phospho-Thr73/55),852,894,1635.5,1255.5,1411,1144,1184,837.5,825.5,888.5,1073.5,1328,908,1558.5,1416.5,1019.5,635,829.5,1420,1277,1214,712
ATF2 (Phospho-Ser112/94),810.5,799,1359,1091.5,1510.5,684,1041,713,656,764,891.5,1338.5,985.5,1480.5,1037.5,930.5,676,696.5,1309.5,1188,1088,643
Myc (Phospho-Thr58),846.5,877.5,1233,981,1229,779.5,1008.5,669.5,697,768,898.5,1337.5,941.5,1213.5,1203,871,574,789.5,1196,1038,999.5,601.5
Myc (Phospho-Thr358),1137,1015,1490,1369,1446.5,1019,1137.5,1000,947.5,1027,1158.5,1374,1143.5,1540.5,1513,1069,723,943.5,1382.5,1475,1445.5,846
VASP (Phospho-Ser157),600,736,1229,1023.5,1022,636,780.5,955,822,663.5,854,1313.5,905,1097.5,1385.5,1003.5,669,817,1038.5,981,884,846
Pyk2 (Phospho-Tyr402),932,905.5,1459.5,1139.5,1445,847.5,1170.5,817,2266,932.5,1220.5,1438,1351,1294,1421,1043.5,657,849.5,1309,1262,1145,740
NFkB-p65 (Phospho-Ser529),816,901.5,1772.5,1182.5,1314.5,941,1333,882,2528,930.5,1351.5,1390.5,1319.5,1473,1432.5,1088.5,661,909.5,1399,1414.5,1113.5,835
Catenin beta (Phospho-Ser33),818,821,1348,960,1107,679.5,1066,631,672,861.5,993.5,1622.5,963,1264.5,1254.5,908.5,519.5,701,1319,1108.5,1025.5,552
Catenin beta (Phospho-Ser37),904.5,1242,1415.5,1537.5,1438.5,811.5,1219.5,835.5,918.5,1043.5,1230,1914.5,1330.5,1565,1683.5,1286.5,675.5,1085,1460,1350,1032,784
EGFR (Phospho-Tyr1172),995.5,1044.5,1838.5,1284.5,1376.5,833.5,1303.5,777.5,725,932,1190,2192,1221,1423,1361.5,993.5,685.5,978.5,1354,1300.5,1336.5,704.5
mTOR (Phospho-Ser2448),816.5,916.5,2426,1167,1251,750.5,1331.5,714.5,612,1000.5,1070.5,1519,927.5,1383,1299,927,531,762.5,1410,1149.5,1031.5,628
4E-BP1 (Phospho-Thr36),770.5,853,1407,999,1171,661.5,1081,581.5,580,809.5,921,1652.5,962.5,1349.5,1279.5,868,513,700.5,1306.5,1144.5,1090.5,519
4E-BP1 (Phospho-Thr45),925,1000.5,1524,1152,1362.5,734.5,1265,710,625,886,1024.5,1811.5,1043.5,1540,1298,921,526.5,744,1379,1192,1132,580
Stathmin 1 (Phospho-Ser24),1124,1223,1774.5,1572.5,1518.5,882.5,1382,958.5,865.5,929,1286,2287,1564.5,1642,1759,1303.5,984,1123.5,1682,1390,1603,810.5
Stathmin 1 (Phospho-Ser37),1019.5,1041,1859,1242.5,1547.5,804.5,1314.5,898.5,865,924.5,1047.5,2185.5,1222.5,1700.5,1699,1152,652,1113.5,1770.5,1311,1498,641.5
PDGFR beta (Phospho-Tyr751),957.5,1122.5,1813,1238.5,1347.5,978,1148.5,836.5,837.5,849,1217,1765.5,1294.5,1541,1581,1227.5,667.5,929,1599.5,1234,1345.5,726.5
Met (Phospho-Tyr1234),1248.5,1346.5,2173,1462.5,1768.5,1196.5,1529.5,1030,1047.5,1283.5,1555.5,2407.5,1464,2137.5,1940,1336,971,1269.5,1894.5,1634,1625,1008
EGFR (Phospho-Tyr1197),988,1068.5,1632.5,1159,1365.5,884,1186.5,778,823.5,888,1102.5,1885.5,1229.5,1614,1568.5,1048,781,995,1524.5,1239,1385,744
EGFR (Phospho-Tyr869),1749.5,1987.5,1759,1273.5,1691,1046.5,1243.5,900,1015,1083,1182.5,1819,1154.5,1679.5,1641.5,1051,1044.5,908,1625,1416.5,1609,887.5
IRS-1 (Phospho-Ser636),1144.5,1273.5,1978,1202.5,1513.5,1396.5,1325,1108,1171.5,1086.5,1223,2378,1596.5,1960.5,1735,1240.5,1015,1158,1737,1519,1472,935
IRS-1 (Phospho-Ser639),868.5,1159,1470.5,1321.5,1347,843.5,1081.5,650,677.5,846.5,1089.5,1057.5,1045,1529,1266,899,475,827,1382,1173.5,1258,672.5
S6 Ribosomal Protein (Phospho-Ser235),882,916,1269,1072,1387.5,741,1053.5,700.5,612,845,933.5,1606.5,1229,1346,1198,870,559.5,771.5,1266,1121,1027.5,614.5
eIF4E (Phospho-Ser209),855.5,879,1302.5,1121.5,1273.5,688.5,1018,695.5,701.5,807,988.5,1218,868.5,1235.5,1193,832.5,546,657,1191.5,1137.5,943.5,646
Elk1 (Ab-389),667,851.5,1505,1185.5,1210,725.5,1178.5,887,853.5,794.5,1006,1468.5,1083,1352.5,1448.5,1068,618,746,1231.5,1183,1075.5,682
Elk1 (Ab-417),455.5,581,1007.5,784,862,482,922.5,509,614,566.5,756.5,1228,731.5,1037.5,1034,666,347,465.5,999.5,887,781,427.5
MEF2A (Ab-312),1661.5,2324.5,2899,2285,3799.5,1590,2292,1159,1093,1385,1477.5,2117,1123,2444,2043.5,1390.5,651.5,1950.5,2746.5,1966.5,2019,1067.5
MEF2A (Ab-319),893.5,1029.5,1698,1285.5,1460,907.5,1404,889,906.5,784.5,1116,1763,1022.5,1385.5,1256.5,1031.5,524,983,1617.5,1254,1176.5,704
GATA1 (Ab-142),561.5,616,1175,838.5,987.5,524,1124,532,537,696.5,843.5,1314,737.5,1133,1145,765,368.5,548,1169,947.5,886.5,443.5
GATA1 (Ab-310),724.5,934,1503.5,1023.5,1073,674,1096,633,645,725,889,1536,842,1360.5,1237,825.5,389.5,709,1273.5,1063,940.5,572.5
HNF4 alpha (Ab-313),515.5,607,2381.5,762.5,818,499.5,977,458,479.5,680.5,716,1274,607.5,1058,903.5,600,331,491,1119,814.5,696,395
STAT1 (Ab-701),403,491,1142.5,671,687,401,708,384,381,494.5,598,1018.5,569,902,842,505.5,263.5,396,853,681.5,652,317
STAT3 (Ab-705),1142,1298.5,1868,1397.5,1470.5,1179.5,1462.5,969.5,904.5,1094.5,1254,2140.5,1296,2047.5,1467.5,1110.5,654,1027,1693.5,1416,1471,814
STAT3 (Ab-727),805.5,896,1276.5,1136.5,1184,693.5,1142,588.5,569,834.5,892.5,1685.5,867.5,1419,1130,737,435.5,655,1304.5,1044,993.5,517
STAT4 (Ab-693),497.5,577,1054,712.5,758.5,458.5,813.5,449,423.5,574.5,690,1268,632,1032,972.5,561.5,326.5,503,1127.5,781.5,763,383
STAT5A (Ab-694),638,708.5,1070,872.5,923,617,798,543.5,530,622.5,683,1306,807,1136.5,1052.5,693.5,395,546,1060,836.5,868.5,462.5
STAT5A (Ab-780),12580,19261,20049.5,18412.5,15690,12208,14648,11223,12943.5,9432.5,11409,13566,9126.5,18009.5,13053.5,14182,7851.5,14217.5,18353.5,15295,15049,12696.5
STAT6 (Ab-641),796.5,885,1231.5,977,1114.5,703.5,1038,642.5,648.5,746,870.5,1613,987.5,1559.5,1248,833,572.5,733.5,1261.5,1055.5,1092.5,531.5
STAT6 (Ab-645),4239.5,6284.5,7961,6390.5,5500,4351,5820.5,4927,4887,4009,5409.5,6297,4215,7705.5,4885,5010.5,3311,5034,6936,5275.5,5728,4666.5
CREB (Ab-133),1219.5,1163,1523.5,1315,1525,1095,1363.5,1096.5,975.5,1170,1365,2086,1226.5,2002.5,1353.5,1058,757.5,949.5,1671.5,1369.5,1354.5,1114.5
ATF4 (Ab-245),1672,1585,1821,1379,1529.5,765,1244.5,730,690,929.5,1113,2102.5,1150.5,1887.5,1357.5,1016,1169,878,1551,1202,1243.5,625.5
AKT1 (Ab-473),967.5,1022,1438,1141.5,1262,758,1115,787,639.5,914.5,1001,1876.5,1017,1677.5,1290.5,920,835.5,790.5,1323,1175.5,1154,602.5
AKT1 (Ab-308),1069,1305,1634,1375,1454.5,950.5,1231.5,939.5,894.5,994.5,1160.5,1760.5,1261,1670.5,1461,1241,727,956.5,1494,1310.5,1326.5,778.5
IRS-1 (Ab-307),840.5,856.5,1395,992,1246,724,1255,676,662,979,1091.5,1876,1126.5,1329.5,1407.5,955.5,527.5,740.5,1299,1163.5,1032,570
Met (Ab-1349),902,996.5,1586.5,1197.5,1457.5,859.5,1251.5,800,768,992.5,1201.5,1726.5,1025.5,1378.5,1466,1062,641,904,1346.5,1236.5,1197.5,672.5
FGFR1 (Ab-154),1013,1088.5,1655,1224.5,1596,892,1400,757,695.5,953.5,1148,2033,1287,1519.5,1395,1030,513,938.5,1404,1252,1242.5,630
KIT (Ab-721),1272,1343,2066,1473,1766.5,1002,1462.5,890.5,972,1158,1536.5,2285.5,1655.5,1798.5,1687.5,1370.5,842.5,1276.5,1897.5,1526,1554,886.5
SP1 (Ab-739),575,608,1156,772,888,485.5,997.5,481,484,658,754.5,1328.5,664,1062.5,945.5,626.5,320,622,1095,913,801.5,424.5
BAX (Phospho-Thr167),673,830.5,1446.5,1000,1097.5,622,1100,487.5,494.5,693,907,1755.5,968.5,1246.5,1070.5,742,415.5,607,1245.5,1005.5,911,465
eNOS (Ab-495),748,707.5,1505,858,934,707.5,1125.5,571,540.5,825,874.5,1584.5,815,1236,1141,769.5,430.5,579,1330,986,892.5,492.5
CDK1/CDC2 (Ab-15),934.5,1012.5,1634.5,1190,1222.5,845.5,1396,742,724,963,1171,1986,1225.5,1649.5,1409,990.5,579.5,807.5,1465.5,1274,1257,664
p44/42MAPK (Ab-202),1036.5,1128,1700.5,1275,1336.5,868.5,1382,826.5,789.5,997.5,1197,2050,1345,1740,1484,1100,730,921.5,1524,1390,1324.5,715
p44/42 MAPK (Ab-204),798.5,893.5,1337.5,1117,1024.5,651.5,1185.5,600,569.5,866.5,1011.5,1797.5,1074.5,1495,1184,800.5,478.5,694.5,1329,1115,1092.5,532.5
HSP27 (Ab-78),683.5,804.5,1252,984,973,542,973.5,464.5,465.5,713,812.5,1724,920.5,1381.5,1097,631.5,346.5,628,1282.5,905.5,915,413
HSP27 (Ab-82),1364,1434,2126.5,1647,1944.5,1198,1418,909.5,808,1175,1344,2182,1237.5,1905,1676.5,1133.5,809,1148.5,1907.5,1397.5,1475.5,1017
SAPK/JNK (Ab-183),931.5,1133,1476,1074.5,1286.5,762,1187,617,610,890,1028.5,2089,1032,1704.5,1239.5,842.5,453,703,1364.5,1114,1153.5,572.5
SAPK/JNK (Ab-185),896.5,1005.5,1422.5,1096,1204.5,744,1192,696.5,693,896,1080.5,2154.5,1236.5,1788.5,1443,940.5,705,828.5,1450,1229.5,1261,599.5
NFkB-p105/p50 (Ab-932),1067,1100,1599,1246.5,1334,857,1215,805,794.5,994,1138,2957.5,1463.5,1986.5,1452.5,1007.5,655.5,870,1538.5,1310,1379.5,654.5
p38 MAPK (Ab-182),9872,10031.5,9162,11668.5,13036.5,8238.5,7075,6237.5,6633,8777.5,7286,8704.5,6373,10731,4852,5496.5,4778,5918,9110.5,5857,6340.5,5216.5
RelB (Ab-552),1247.5,1038.5,1570.5,1231,1499,978,1260.5,1073,862.5,1046.5,1216,1810,1097.5,1784,1441,1075,1098.5,889,1643.5,1417,1307.5,785
Synuclein alpha (Ab-125),836,827.5,1264.5,998,1000.5,693,946,602.5,640.5,711,810,1600.5,748,1382,1132,945,607.5,639.5,1208,1094,937.5,573.5
Tau (Ab-212),3730.5,6070.5,4909,4964,4243,3019,3183.5,2039.5,2562.5,2738.5,3132.5,4275,2600,4818,3311.5,3241,1751,2962.5,4288,3621.5,3244,2453
CREB (Phospho-Ser121),718,744,1322,940.5,1125.5,744,1106,642,651,2280.5,902,1555,852,1180.5,1263,865.5,482.5,620,1173,1072,878.5,560.5
EGFR (Phospho-Tyr1016),1089.5,1265.5,1649,1266.5,1606,1070.5,1432,968.5,884.5,1180.5,1275,2059,1268.5,1554.5,1455,1187.5,908.5,1211.5,1528.5,1394.5,1360.5,775.5
FAK (Phospho-Tyr407),985,1092.5,1433,956.5,1596.5,733,1488.5,725.5,851,1052.5,1273,1934,1882.5,1207.5,1510,869.5,812.5,959,1729,1081,1294.5,739
FOXO1/3/4-pan (Phospho-Thr24/32),1052,999,1768.5,1326,1441.5,917.5,1556.5,864.5,854,995,1148,2571,1485.5,1486.5,1408,1123.5,558,1155.5,1380,1469,1368,818
FKHR/FOXO1A (Phospho-Ser329),831.5,771.5,1452.5,1234,1300.5,734.5,1290,634.5,698,977.5,1204.5,2281.5,1618,1274.5,1788,876,611.5,841.5,1548,1328,1108,591.5
FOXO1A/3A (Phospho-Ser322/325),1151,893.5,2323.5,1304,1449,997.5,1574.5,915,880,833.5,1250.5,2655,1168.5,1589.5,1827.5,1294.5,671,1142.5,1822,1554,1186,749
GRK2 (Phospho-Ser29),1272,1460.5,2194.5,1654,2127.5,2163.5,1774,882,1072.5,1404.5,1447,1848.5,1991.5,1541,1524.5,1601,922,1002,5468,1592,1121,874
IKK-beta (Phospho-Tyr199),894,1088,1752.5,1373,1375.5,1019,1353,833.5,835,1042,1148.5,1852,1183,1493.5,1266.5,934,645.5,1003,3494.5,1239.5,1108,712.5
IRS-1 (Phospho-Ser323),694,963,1426.5,1121,1107.5,794,1157,590,616.5,807,1037.5,1867.5,963.5,1501,1397,923,476,694,1326,1136.5,1253.5,614
JNK1/2/3 (Phospho-Thr183/Tyr185),961.5,1098,1743,1274.5,1432.5,845,1331,751,691,929.5,1110.5,2161,1198.5,1773.5,1429,1009.5,582.5,818,1535,1146,1247.5,674.5
LAT (Phospho-Tyr191),1456.5,1545.5,2488.5,1763.5,2152,1433,1858.5,1509,1260,1200.5,1454.5,2828.5,1636,1784,1966,1502.5,1398,1371,2197,1704.5,1677,1414
LCK (Phospho-Tyr504),1046,1040,1695,1311.5,1568.5,1021,1298.5,818.5,832.5,1001.5,1120,2036,1463,1797,1598.5,1124.5,698,1109,1530,1304,1232.5,1290
LCK (Phospho-Tyr192),1376.5,1315,2424.5,1599.5,1619.5,1141,1496.5,878,979,1176,1371,2097,1843,2169,2049.5,1482,832,1258.5,2136,1532.5,1668.5,1611.5
MDM2 (Phospho-Ser166),944,1036.5,1463.5,1136.5,1461.5,899,1256.5,742.5,719,996.5,1077,1826,950,1622,1357,859,544,777,1436,1161.5,1140.5,612.5
MEF2D (Phospho-Ser444),907,1014,1522.5,1156.5,1353.5,762.5,1151,3387.5,595,891.5,1010.5,1978.5,2557,1827.5,1419,880,488,743,1533.5,1450.5,1226,548.5
NFAT4 (Phospho-Ser165),1173.5,1236,1862,1519,1821,1134.5,1330,1796,1014,1093.5,1293,2194,1603.5,1991.5,1697,1073,797.5,1029,1696.5,1483,1454.5,792
p53 (Phospho-Ser20),1135.5,1420.5,1577,1237,1413,835.5,1368,829.5,741.5,1168.5,1162.5,1841,1219,1579,2081.5,987,1087,942.5,1491,1335,1484.5,721.5
p53 (Phospho-Ser392),806,808.5,1530,1255,1225,748.5,1147.5,729.5,581,952,929,1641,1117.5,1328.5,1956.5,831,731.5,710.5,1296,1064.5,1032,609.5
P70S6K (Phospho-Thr229),669.5,653.5,996,846,916.5,562,869.5,492,489.5,678,749,1251.5,761,1094,1048.5,673.5,399.5,515.5,1032,907,855.5,467
Caspase 1 (Phospho-Ser376),1032.5,1023,1713.5,1307.5,1677,1159,1244.5,834,858,1085,1203,1801.5,1175,1469.5,1493,1072,734,928,1297.5,1282.5,1152,705
Caspase 2 (Phospho-Ser157),688.5,796.5,1229,1010,1232,658.5,1033,622.5,616.5,838,909,1471.5,959.5,1177,1211.5,764,445,781,1158,978.5,891.5,502
GRB10/Growth factor receptor-bound protein 10 (Phospho-Tyr67),704,802,1066.5,856,1163.5,625.5,1246,535,533,719.5,959.5,1456,925.5,1240,973.5,689.5,390,619,1123,967.5,885,467
GTPase activating protein (Phospho-Ser387),855.5,951.5,1411.5,1019.5,1330,756.5,1289,621.5,646,812.5,982,1811,1555,1318,1392,1104.5,540,792,1430,1343,1026.5,611
HSP90 co-chaperone Cdc37 (Phospho-Ser13),957,1091,1678.5,1217.5,1336.5,854.5,1336.5,680.5,738,1005,1068.5,2006.5,1196.5,1444,1459,951.5,503,838.5,1408.5,1256.5,1136,680.5
IkB-alpha (Phospho-Tyr305),897,1140.5,1562,1349,1310,819.5,1518,659.5,706,876.5,1239,2220.5,1898,1668.5,1957,1236.5,734,1039,1812.5,1456,1461,756.5
MKP-1 (Phospho-Ser359),973,849,1593.5,1203,1402,839.5,1444,628,645.5,1108,1118.5,1940.5,1438,1542,1517.5,972.5,586,871,1997,1277,1250.5,624
NFkB-p100/p52 (Phospho-Ser872),907,7513.5,2609.5,3403,4845,859,1810.5,788,1231.5,2321,4143,5359.5,1187.5,1579,2126,4896.5,2751.5,3806.5,6919,3108.5,1268.5,1120.5
PAK1/2 (Phospho-Ser199),947,1113.5,1532.5,1154.5,1468.5,845.5,1280,738,857.5,895,1137.5,2425,1336,1471.5,1607,998,638.5,887,1470.5,1188,1506,696.5
RapGEF1 (Phospho-Tyr504),552.5,685,1029,700,900,513.5,839,415.5,414,643,723.5,1520.5,805,1163.5,993,586.5,310,472.5,1056,749,860,365.5
MAP3K7/TAK1 (Phospho-Thr184),859.5,984,1596,1107,1314.5,739,1182.5,568,576,883,986,2339,1183.5,1602.5,1424,955.5,509.5,753,1525.5,1152.5,1167.5,552.5
eNOS (Phospho-Ser615),1225,1446,2116,1410,1676,1369.5,1534.5,832.5,850,1082,1278.5,2584,1524,2187.5,1628.5,1184,674,948.5,1741.5,1500.5,1598.5,1041.5
IKK-gamma (Phospho-Ser85),989,1039.5,1507,1058,1254.5,977.5,1220,771,827,961.5,1090.5,2296.5,1207.5,1498.5,1478,1005,712.5,949.5,1458,1176.5,1341,723.5
mTOR (Phospho-Thr2446),1415.5,1563.5,2009,1657,1720,1123,1567,1114,1008.5,1268,1474,2162,2042.5,1890,1665.5,1117.5,982,1168,2105,1419.5,1344,1022.5
IGF2R (Phospho-Ser2409),1362.5,1563,2104.5,1521,1482,992.5,1551,2139,932.5,1088.5,1212,2724.5,3380.5,2225,2184.5,1409,1013.5,1302,2015,1636.5,1827,929
PI3-kinase p85-subunit alpha/gamma (Phospho-Tyr467/Tyr199),1379.5,1989,1895.5,2181,2323.5,1675,2144,2255,1576,1684,1614.5,2793,2565.5,2407.5,2242.5,2034.5,1339.5,1271.5,2297.5,1960,2115,1317
PI3-kinase p85-alpha (Phospho-Tyr607),2570.5,834,1179,973.5,1138,702.5,1044.5,605,574,792.5,861,1733,1145,1586.5,1522.5,868,508,788.5,1311.5,1087.5,1007.5,528
RGS16 (Phospho-Tyr168),4349,948,1513,1111,1290,753,1063.5,627.5,645,932,989,1936.5,1087.5,1710.5,2332.5,911.5,522,709.5,1318.5,1161,1084,575
Rho/Rac guanine nucleotide exchange factor 2 (Phospho-Ser885),915.5,806,1311.5,934,1027,715,1003,609.5,636.5,914.5,834,1668,1344.5,1221.5,1525.5,758.5,497.5,701,1193.5,985,858.5,576.5
NMDAR2A/B (Phospho-Tyr1246/1252),2273.5,2443,2772.5,2166,2882.5,2436,2547,1697.5,2437,2306,2613,2627,2483,2062.5,2449,1620.5,1776.5,2387.5,2617.5,2259.5,1977,1645.5
VEGFR2 (Phospho-Tyr1054),1130,1272.5,1581,1346,1516.5,1085.5,1391.5,1212,1191,1169,1400,1871,1361,1649,1500.5,1239,973,1084.5,1597,1363,1321.5,1032
Vinculin (Phospho-Tyr821),1805,1907,2504,2063.5,2164.5,1593.5,2321,1611,1699.5,1690,2091.5,2782,2051,2446.5,2142,1810.5,1638,1785,2399.5,2095,2197,1564
HRS (Phospho-Tyr334),1174.5,1233.5,1725.5,1343,1441,1016.5,1518.5,1001,989,1082.5,1356.5,2055.5,1505,1898,1582,1144,778,999.5,1693.5,1406,1422.5,907.5
IL-10R-alpha (Phospho-Tyr496),2296.5,1478,2821,3020.5,2344,2283,2286.5,1929,2326,1908.5,2118,3429.5,2438.5,2085.5,2083.5,1991.5,1148.5,2526,2102,2663.5,2284.5,1966
IL-13R/CD213a1 (Phospho-Tyr405),4655,4172,4939.5,5085.5,4951.5,4232.5,4520.5,5065,4299,4205.5,4527.5,4595.5,4408,5165,4683.5,3450,4453.5,5225.5,4360.5,3862,3625.5,3711.5
IL-4R/CD124 (Phospho-Tyr497),2058.5,2487,3267.5,2807.5,2412,1915,2804,2332.5,2243,2468,2536,3416.5,2708.5,3112.5,2406,2207,2096,2446.5,3022,2162.5,2468.5,1897
IL7R/CD127 (Phospho-Tyr449),4533,4774,3214,3001,2023.5,1831,2373,1308,1735.5,2457,1902,2043,1318,4375,2556.5,2536.5,1779.5,3127.5,1803,3347.5,1447.5,2160.5
Integrin beta-4 (Phospho-Tyr1510),1765.5,1800.5,1833,1703,2077.5,1547,2073,1273.5,1521.5,1489,1712.5,2509.5,2124,2409.5,2018.5,1385,1178,1486.5,2184.5,1656,1896,1361
Kv1.3/KCNA3 (Phospho-Tyr135),3352,3560,3601,3922,3916,3512.5,3756,3004.5,3189.5,3019.5,3337,3939.5,3644,4131,3634.5,3767.5,2293,3493.5,3976.5,3876,3803.5,2920
Kv2.1/Kcnb1 (Phospho-Tyr128),2388,2925.5,3354,2717.5,2549.5,2061,2686.5,1695.5,1661.5,1772.5,2177.5,3999,2457.5,3337.5,2434,2384.5,1454.5,1962,2996.5,2486.5,2496.5,1573
CDK5 (Phospho-Tyr15),5574.5,6488,5761,5467.5,5291,5347.5,4815,4817,4691,3470,4501.5,6642,4380,5664.5,5062.5,4468,5260,5326,6037,4887,5808,4350
STAM2 (Phospho-Tyr192),3092.5,3519,4382,3742,3525,2837.5,3290,3448.5,3196.5,2344.5,3526,4628.5,3441,4631.5,3832.5,3826,2655.5,3093.5,3971.5,3765,4113.5,3031
AXL (Phospho-Tyr691),1366,1401,2230,1589,1446.5,975,1708.5,1015,957.5,1165.5,1400.5,2308,2166,2508.5,2307,1324,1117,1355,2043,1432.5,1951.5,932.5
FER (Phospho-Tyr402),7297,11770,12788.5,8171.5,7070,6300.5,6110.5,4991.5,4014,4470,5985.5,7473.5,5360.5,3854,3632.5,5419,4423,6602,7757.5,3258,7017,5901
FLT3 (Phospho-Tyr842),2413,1897.5,2969.5,2025,2385,1778,2102,1900,2201.5,1776.5,1929,3008.5,1924,3116,2719,2338,1929.5,2106,2621,2482.5,2267,1716.5
FLT3 (Phospho-Tyr969),7720.5,2980,3171,3064,2869,2188,2514,2499.5,2463.5,2100.5,3342,4334,4177.5,4503,4004,3650,3746,3032,3173.5,3235,3833.5,2508
ICK (Phospho-Tyr159),3665,1622.5,2046,1660.5,1730,1278,1627,1373.5,1327.5,1371,1572,2133.5,1637,2442.5,1807,1445.5,1143,1266,1952.5,1696.5,1827.5,1193.5
